source_file,url,page_type,has_next_route,legacy_html,sitemap_repo,production_http,canonical_decision,action,priority
pages/index.tsx,/,Next.js page,yes,no,yes,not individually tested,review,keep/inspect,P1
pages/0-c-to-f.tsx,/0-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/1-c-to-f.tsx,/1-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/10-c-to-f.tsx,/10-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/100-c-to-f.tsx,/100-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/12-c-to-f.tsx,/12-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/13-c-to-f.tsx,/13-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/14-c-to-f.tsx,/14-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/15-c-to-f.tsx,/15-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/16-c-to-f.tsx,/16-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/160-c-to-f.tsx,/160-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/17-c-to-f.tsx,/17-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/18-c-to-f.tsx,/18-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/180-c-to-f.tsx,/180-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/19-c-to-f.tsx,/19-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/20-c-to-f.tsx,/20-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/200-c-to-f.tsx,/200-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/21-c-to-f.tsx,/21-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/22-c-to-f.tsx,/22-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/23-c-to-f.tsx,/23-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/24-c-to-f.tsx,/24-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/25-c-to-f.tsx,/25-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/26-c-to-f.tsx,/26-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/27-c-to-f.tsx,/27-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/28-c-to-f.tsx,/28-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/29-c-to-f.tsx,/29-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/30-c-to-f.tsx,/30-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/31-c-to-f.tsx,/31-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/32-c-to-f.tsx,/32-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/33-c-to-f.tsx,/33-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/34-c-to-f.tsx,/34-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/35-c-to-f.tsx,/35-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/36-1-c-to-f.tsx,/36-1-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/36-3-c-to-f.tsx,/36-3-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/36-4-c-to-f.tsx,/36-4-c-to-f,Next.js page,yes,yes,yes,200,keep current Next URL; review content/schema,keep/inspect,P1
pages/36-5-c-to-f.tsx,/36-5-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/36-6-c-to-f.tsx,/36-6-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/36-c-to-f.tsx,/36-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/37-2-c-to-f.tsx,/37-2-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/37-5-c-to-f.tsx,/37-5-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/37-c-to-f.tsx,/37-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/375-f-to-c.tsx,/375-f-to-c,Next.js page,yes,no,yes,not individually tested,review,keep/inspect,P1
pages/38-c-to-f.tsx,/38-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/39-c-to-f.tsx,/39-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
pages/4-c-to-f.tsx,/4-c-to-f,Next.js page,yes,yes,yes,not individually tested,review,keep/inspect,P1
