类别：所有类别
"body temperature fever: (2025/6/29 - 2026/6/29, 全球)"

TOP
body temperature in fever,100
fever temperature of body,100
temperature of fever,97
body normal temperature,93
normal body temperature fever,91
fever normal temperature,91
normal temperature,90
normal body temperature,89
body temperature for fever,68
temperature for fever,68
what is body temperature,56
what is fever,55
what is fever temperature,54
what body temperature is fever,53
temperature of body in fever,48
body temperature with fever,37
what is a fever temperature,37
what is a fever,37
what body temperature is a fever,37
normal body temperature in fever,33
normal temperature of body,31
high fever,31
high fever body temperature,30
high fever temperature,30
high body temperature,30

RISING
lidl near me,飙升
psychogenic fever,"+1,300%"
walmart near me,+850%
hyperpyrexia,+130%
normal body temperature range,+130%
normal body temperature adult,+120%
37.5 body temperature,+110%
37.2 body temperature,+80%
hypothermia,+80%
body temperature range,+70%
fever temperature of body,+50%
temperature of fever,+40%

