"query","search interest","increase percent"
"42.5 c to f",7,"3,600%"
"42 degrees c to f",4,"20%"
"36 degrees c to f",5,"20%"
"29 c to f",12,"20%"
"38.4 c to f",4,"20%"
"37 c to f",24,"20%"
"82 f to c",11,"10%"
"98.5 f to c",3,"10%"
"400 degrees f to c",4,"10%"
"42 c to f",11,"10%"
"28 degrees c to f",4,"10%"
"93 f to c",8,"10%"
"180 c to f oven",5,"10%"
"36.2 c to f",4,"10%"
"37.4 c to f",5,"10%"
"36.3 c to f",5,"9%"
"135 f to c",3,"9%"
"19 degrees c to f",4,"9%"
"31 c to f",12,"8%"
"98.6 f to c",5,"8%"
"83 f to c",6,"8%"
"39 c to f",10,"7%"
"68 f to c",15,"7%"
"86 f to c",7,"7%"
"38.5 c to f",5,"7%"
"36 c to f",16,"7%"
"38.6 c to f",3,"7%"
"375 f to c",47,"7%"
"190 c to f",12,"7%"
"convert c to f",32,"6%"
"38 degrees c to f",6,"6%"
"36.7 c to f",7,"6%"
"33 c to f",10,"6%"
"38 c to f",21,"6%"
"36.6 c to f",8,"5%"
"84 f to c",7,"5%"
"200 f to c",37,"5%"
"230 c to f",5,"5%"
"34 c to f",13,"5%"
"30 degrees c to f",7,"5%"
"75 f to c",20,"4%"
"37.8 c to f",5,"4%"
"55 f to c",8,"4%"
"18 degrees c to f",5,"4%"
"300 f to c",9,"4%"
"37.9 c to f",4,"4%"
"66 f to c",6,"4%"
"180 f to c",39,"4%"
"19 c to f",14,"4%"
"250 f to c",10,"4%"
