类别：所有类别
"cooking temperature chart: (2025/6/29 - 2026/6/29, 全球)"

TOP
meat temperature chart,100
meat cooking temperature chart,100
food temperature chart,84
chicken cooking temperature chart,80
beef temperature chart,65
beef cooking temperature chart,63
steak cooking chart,57
steak temperature chart,56
steak cooking temperature chart,56
steak cooking temperature,55
turkey cooking temperature chart,45
pork temperature chart,44
turkey temperature chart,43
pork cooking temperature chart,43
cooking oil temperature chart,39
fish cooking temperature chart,26
cooking temperature conversion chart,21
ham cooking temperature chart,19
lamb cooking temperature chart,13
poultry cooking temperature chart,13
egg cooking temperature chart,12
turkey cooking time and temperature chart,12
boston butt cooking temperature chart,12
duck cooking temperature chart,11
hamburger cooking temperature chart,7

RISING
turkey cooking time and temperature chart,+150%
grill steak temperature chart,+110%

