UK Gas Mark,Conventional oven (°C),Conventional oven (°F),Fan / convection oven (°C),Fan / convection oven (°F),Heat level,Typical uses
1/4,110,225,90,194,Very slow / very low,
1/2,120,250,100,212,Very slow / very low,
1,140,275,120,248,Slow / low,"Meringues, delicate baking"
2,150,300,130,266,Slow / low,"Slow cooking, casseroles"
3,170,325,150,302,Moderately slow / warm,"Fruit cakes, casseroles"
4,180,350,160,320,Moderate / medium,"Sponge cakes, muffins, cookies, everyday baking"
5,190,375,170,338,Moderate / moderately hot,"Fruit pies, casseroles, fish, scones"
6,200,400,180,356,Moderately hot,"Roasting meats and vegetables, baking bread"
7,220,425,200,392,Hot,"Roasting meats, puff pastry"
8,230,450,210,410,Hot / very hot,
9,240,475,220,428,Very hot,"Pizza, artisan bread, searing"
10,260,500,240,464,Extremely hot (less common marking),
